datum;p1;p2;n1;n2;Gas;zon;p1+p2;n1+n2
19-06-2024;7391,25;6239,33;6251,97;14233,66;6561,45;6603,7;13630,59;20485,63;
20-06-2024;7393,17;6240,47;6251,97;14246,70;6561,68;6620,15;13633,64;20498,67;
21-06-2024;7394,87;6241,46;6251,97;14249,78;6561,94;6626,5;13636,33;20501,75;
22-06-2024;7396,96;6241,46;6264,93;14249,78;6562,48;6642,65;13638,42;20514,71;
23-06-2024;7399,72;6241,46;6285,82;14249,78;6562,64;6668,32;13641,18;20535,60;
24-06-2024;7401,79;6242,46;6285,82;14271,69;6562,95;6694,47;13644,25;20557,51;
25-06-2024;7403,74;6243,42;6285,82;14292,80;6563,29;6720,58;13647,16;20578,62;
26-06-2024;7405,87;6243,93;6285,82;14315,2;6563,51;6746,96;13649,80;20600,84;
27-06-2024;7407,91;6245,17;6285,82;14335,77;6563,85;6772,6;13653,8;20621,59;
28-06-2024;7409,88;6246,70;6285,82;14353,9;6564,3;6794,81;13656,57;20638,91;
29-06-2024;7413,23;6246,70;6304,55;14353,9;6564,36;6817,57;13659,93;20657,64;
30-06-2024;7416,61;6246,70;6317,0;14353,9;6564,58;6834,26;13663,30;20670,9;
01-07-2024;7418,70;6247,92;6317,1;14368,67;6564,84;6854,39;13666,62;20685,68;
02-07-2024;7420,83;6248,83;6317,1;14376,87;6564,97;6866,56;13669,67;20693,88;
03-07-2024;7422,82;6250,82;6317,1;14382,91;6565,26;6876,40;13673,63;20699,92;
04-07-2024;7424,85;6252,52;6317,1;14402,57;6565,76;6902,63;13677,37;20719,58;
05-07-2024;7426,87;6254,53;6317,1;14408,7;6565,88;6912,20;13681,41;20725,8;
06-07-2024;7430,78;6254,53;6330,45;14408,7;6566,31;6931,59;13685,31;20738,52;
07-07-2024;7434,36;6254,53;6341,74;14408,7;6566,44;6946,85;13688,89;20749,81;
08-07-2024;7436,35;6256,36;6341,74;14420,57;6566,62;6963,68;13692,70;20762,31;
09-07-2024;7438,46;6258,46;6341,74;14431,33;6566,87;6978,37;13696,92;20773,7;
10-07-2024;7440,50;6259,56;6341,74;14442,73;6567,12;6994,32;13700,6;20784,47;
11-07-2024;7442,59;6261,13;6341,74;14459,30;6567,33;7015,76;13703,72;20801,4;
12-07-2024;7444,65;6265,0;6341,74;14461,98;6567,58;7021,56;13709,65;20803,72;
13-07-2024;7447,89;6265,0;6349,30;14461,98;6567,94;7033,7;13712,89;20811,28;
14-07-2024;7450,60;6265,0;6369,47;14461,98;6568,15;7056,99;13715,60;20831,45;
15-07-2024;7452,65;6265,78;6369,47;14479,37;6568,45;7078,23;13718,42;20848,84;
16-07-2024;7454,70;6267,94;6369,47;14490,89;6568,59;7094,68;13722,64;20860,36;
17-07-2024;7456,64;6268,88;6369,48;14511,91;6568,80;7119,92;13725,52;20881,39;
18-07-2024;7458,74;6269,84;6369,48;14526,48;6569,6;7138,34;13728,58;20895,96;
19-07-2024;7460,77;6271,90;6369,48;14540,63;6569,24;7157,77;13732,68;20910,11;
20-07-2024;7463,44;6271,90;6386,90;14540,63;6569,54;7180,27;13735,34;20927,53;
21-07-2024;7467,64;6271,90;6393,30;14540,63;6569,67;7189,97;13739,55;20933,93;
22-07-2024;7469,70;6273,60;6393,30;14558,6;6570,9;7211,31;13743,30;20951,36;
23-07-2024;7471,77;6274,61;6393,30;14567,31;6570,33;7224,12;13746,38;20960,61;
24-07-2024;7473,73;6275,22;6393,30;14586,53;6570,52;7247,80;13748,94;20979,83;
25-07-2024;7476,92;6278,8;6393,30;14592,49;6570,94;7258,26;13755,0;20985,79;
26-07-2024;7477,74;6278,76;6393,30;14608,8;6570,95;7278,17;13756,50;21001,38;
27-07-2024;7480,50;6278,76;6409,92;14608,8;6571,38;7299,57;13759,26;21018,0;
28-07-2024;7483,31;6278,76;6431,86;14608,8;6571,55;7325,75;13762,7;21039,94;
29-07-2024;7485,26;6279,63;6431,86;14630,30;6571,85;7352,82;13764,90;21062,16;
30-07-2024;7487,14;6280,12;6431,86;14651,90;6571,98;7378,14;13767,25;21083,76;
31-07-2024;7489,17;6281,6;6431,86;14662,30;6572,27;7392,28;13770,23;21094,16;
01-08-2024;7491,17;6285,79;6431,86;14665,72;6572,42;7399,1;13776,96;21097,58;
02-08-2024;7493,16;6286,85;6431,86;14678,44;6572,66;7414,88;13780,1;21110,30;
03-08-2024;7495,34;6286,85;6442,28;14678,44;6572,96;7428,68;13782,19;21120,72;
04-08-2024;7499,30;6286,85;6451,89;14678,44;6573,8;7442,15;13786,16;21130,33;
05-08-2024;7501,24;6287,73;6451,89;14698,27;6573,46;7466,43;13788,97;21150,16;
06-08-2024;7503,20;6288,66;6451,89;14718,84;6573,77;7490,83;13791,86;21170,73;
07-08-2024;7505,31;6290,3;6451,89;14733,85;6573,94;7511,10;13795,34;21185,74;
08-08-2024;7507,41;6291,45;6451,89;14753,45;6574,17;7535,6;13798,86;21205,34;
09-08-2024;7509,52;6294,21;6451,89;14761,0;6574,29;7547,60;13803,73;21212,89;
10-08-2024;7512,96;6294,21;6474,5;14761,0;6574,66;7572,90;13807,17;21235,5;
11-08-2024;7515,69;6294,21;6495,54;14761,0;6574,90;7598,94;13809,91;21256,54;
12-08-2024;7517,74;6294,86;6495,54;14782,85;6575,10;7624,79;13812,60;21278,39;
13-08-2024;7519,72;6295,71;6495,54;14796,61;6575,46;7641,93;13815,43;21292,15;
14-08-2024;7521,72;6297,70;6495,54;14801,31;6575,76;7649,85;13819,43;21296,85;
15-08-2024;7523,65;6298,68;6495,54;14818,19;6576,19;7671,78;13822,33;21313,73;
16-08-2024;7525,84;6302,63;6495,54;14819,99;6576,27;7676,20;13828,46;21315,53;
17-08-2024;7528,87;6302,63;6517,55;14819,99;6576,59;7702,53;13831,50;21337,54;
18-08-2024;7531,85;6302,63;6532,25;14819,99;6576,84;7720,86;13834,48;21352,24;
19-08-2024;7533,86;6303,82;6532,25;14838,27;6576,96;7743,53;13837,67;21370,52;
20-08-2024;7536,1;6307,24;6532,25;14844,91;6577,21;7753,10;13843,25;21377,16;
21-08-2024;7538,12;6308,8;6532,25;14862,41;6577,40;7774,24;13846,19;21394,66;
22-08-2024;7540,21;6310,67;6532,25;14877,78;6577,66;7793,88;13850,88;21410,3;
23-08-2024;7542,34;6313,86;6532,25;14886,23;6577,78;7807,58;13856,20;21418,48;
24-08-2024;7546,57;6313,86;6539,47;14886,23;6578,20;7818,8;13860,43;21425,70;
25-08-2024;7549,80;6313,86;6555,87;14886,23;6578,40;7837,73;13863,66;21442,10;
26-08-2024;7551,80;6315,4;6555,87;14900,82;6578,62;7855,58;13866,84;21456,69;
27-08-2024;7553,90;6315,99;6555,87;14922,3;6578,83;7881,50;13869,88;21477,90;
28-08-2024;7555,87;6316,60;6555,87;14943,85;6579,13;7907,25;13872,48;21499,72;
29-08-2024;7557,86;6318,9;6555,87;14961,17;6579,31;7928,34;13875,95;21517,4;
30-08-2024;7559,90;6319,73;6555,87;14973,1;6579,48;7943,80;13879,63;21528,88;
31-08-2024;7563,22;6319,73;6576,3;14973,1;6579,84;7967,86;13882,95;21549,4;
01-09-2024;7566,52;6319,73;6594,46;14973,1;6579,97;7989,55;13886,25;21567,47;
02-09-2024;7568,53;6321,21;6594,46;14989,25;6580,36;8009,39;13889,74;21583,71;
03-09-2024;7570,57;6323,76;6594,46;14993,65;6580,55;8015,92;13894,33;21588,11;
04-09-2024;7572,58;6326,40;6594,46;15000,1;6580,73;8025,56;13898,99;21594,47;
05-09-2024;7574,84;6327,55;6594,46;15009,10;6580,96;8037,55;13902,40;21603,56;
06-09-2024;7577,10;6332,72;6594,46;15010,78;6581,6;8041,94;13909,82;21605,24;
07-09-2024;7580,81;6332,72;6611,0;15010,78;6581,48;8061,22;13913,53;21621,78;
08-09-2024;7584,71;6332,72;6627,60;15010,78;6581,63;8081,9;13917,43;21638,38;
09-09-2024;7586,77;6334,73;6627,60;15020,33;6581,78;8093,97;13921,50;21647,93;
10-09-2024;7588,75;6337,49;6627,60;15024,6;6581,90;8100,0;13926,24;21651,66;
11-09-2024;7590,82;6340,59;6627,60;15035,88;6582,25;8114,53;13931,40;21663,48;
12-09-2024;7593,15;6344,99;6627,60;15043,28;6582,38;8126,96;13938,14;21670,88;
13-09-2024;7595,47;6346,90;6627,60;15055,61;6582,64;8142,23;13942,37;21683,21;
14-09-2024;7599,31;6346,90;6644,12;15055,61;6583,0;8163,7;13946,21;21699,73;
15-09-2024;7603,53;6346,90;6660,5;15055,61;6583,27;8182,83;13950,43;21715,66;
16-09-2024;7605,72;6349,52;6660,5;15065,47;6583,42;8196,10;13955,24;21725,52;
17-09-2024;7607,82;6351,53;6660,5;15075,36;6583,67;8210,31;13959,35;21735,41;
18-09-2024;7609,84;6353,58;6660,5;15087,25;6583,88;8225,29;13963,41;21747,30;
19-09-2024;7611,93;6355,81;6660,5;15105,20;6584,43;8248,39;13967,74;21765,25;
20-09-2024;7613,91;6357,22;6660,5;15124,98;6584,75;8272,6;13971,13;21785,3;
21-09-2024;7616,59;6357,22;6681,40;15124,98;6584,94;8295,45;13973,80;21806,38;
22-09-2024;7620,98;6357,22;6687,80;15124,98;6585,12;8304,85;13978,19;21812,78;
23-09-2024;7622,90;6359,30;6687,80;15133,91;6585,26;8316,76;13982,19;21821,71;
24-09-2024;7624,96;6361,99;6687,80;15140,65;6585,45;8325,71;13986,95;21828,45;
25-09-2024;7627,15;6364,40;6687,80;15147,57;6585,76;8335,82;13991,55;21835,37;
26-09-2024;7629,32;6368,93;6687,80;15158,40;6586,4;8349,95;13998,25;21846,20;
27-09-2024;7631,66;6374,37;6687,80;15159,14;6586,54;8353,27;14006,2;21846,94;
28-09-2024;7640,54;6374,37;6702,2;15159,14;6587,49;8373,23;14014,91;21861,16;
29-09-2024;7643,28;6374,37;6708,72;15159,14;6587,62;8383,86;14017,65;21867,86;
30-09-2024;7645,45;6381,6;6708,72;15159,73;6588,12;8386,74;14026,51;21868,45;
01-10-2024;7648,50;6385,71;6708,72;15160,3;6588,26;8389,51;14034,22;21868,75;
02-10-2024;7651,13;6392,83;6708,72;15160,57;6588,30;8392,55;14043,95;21869,29;
03-10-2024;7653,63;6396,83;6708,72;15178,29;6588,47;8415,91;14050,46;21887,1;
04-10-2024;7657,6;6401,75;6708,72;15193,37;6588,47;8437,44;14058,81;21902,9;
05-10-2024;7662,52;6401,75;6726,67;15193,37;6588,47;8461,14;14064,27;21920,4;
06-10-2024;7669,78;6401,75;6739,18;15193,37;6588,47;8477,21;14071,53;21932,55;
